Product Name,Total Sales,Rank,% of Total Sales
GuestStacker Chair with Chrome Finish Legs,9070.944,35,0.39
Canon Imageclass D680 Copier / Fax,8959.872,36,0.39
Hewlett Packard 610 Color Digital Copier / Printer,8899.822,37,0.39
Wilson Electronics DB Pro Signal Booster,8878.4,38,0.39
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,8774.5,39,0.38
Global Deluxe High-Back Manager's Chair,8665.194,40,0.38
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,8430.997,41,0.37
Chromcraft Round Conference Tables,8209.059,42,0.36
"Hot File 7-Pocket, Floor Stand",8138.232,43,0.35
Fellowes PB300 Plastic Comb Binding Machine,8070.192,44,0.35
Cubify CubeX 3D Printer Triple Head Print,7999.98,45,0.35
Ibico Ibimaster 300 Manual Binding System,7985.383,46,0.35
Global Commerce Series High-Back Swivel/Tilt Chairs,7979.4400000000005,47,0.35
Okidata MB760 Printer,7834.4,48,0.34
Adjustable Depth Letter/Legal Cart,7730.196,49,0.34
Ativa V4110MDD Micro-Cut Shredder,7699.89,50,0.34
Mitel MiVoice 5330e IP Phone,7699.72,51,0.34
Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,7582.374,52,0.33
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",7539.7122,53,0.33
Tennsco 16-Compartment Lockers with Coat Rack,7515.523999999999,54,0.33
Hon 94000 Series Round Tables,7404.5,55,0.32
Logitech diNovo Edge Keyboard,7399.704,56,0.32
Bretford CR4500 Series Slim Rectangular Table,7242.768,57,0.32
Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),7139.796,58,0.31
Zebra ZM400 Thermal Label Printer,6965.700000000001,59,0.3
"Bevis Oval Conference Table, Walnut",6942.068,60,0.3
Hon GuestStacker Chair,6936.102,61,0.3
Hoover Upright Vacuum With Dirt Cup,6832.908,62,0.3
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",6819.312,63,0.3
GBC DocuBind 300 Electric Binding Machine,6785.142,64,0.3
Bretford CR8500 Series Meeting Room Furniture,6776.562000000001,65,0.29
Cisco Unified IP Phone 7945G VoIP phone,6751.602,66,0.29
Hon Every-Day Series Multi-Task Chairs,6748.482,67,0.29
ClearOne CHATAttach 160 - speaker phone,6695.892,68,0.29
Standard Rollaway File with Lock,6594.954,69,0.29
Hon Multipurpose Stacking Arm Chairs,6584.64,70,0.29
"Dual Level, Single-Width Filing Carts",6574.544,71,0.29
Balt Solid Wood Round Tables,6518.754,72,0.28
Hon Pagoda Stacking Chairs,6483.796,73,0.28
"Global Leather and Oak Executive Chair, Black",6410.874,74,0.28
Sharp AL-1530CS Digital Copier,6399.872,75,0.28
Polycom VVX 310 VoIP phone,6227.654,76,0.27
Samsung Galaxy S4,6134.701999999999,77,0.27
Samsung Galaxy S4 Mini,6109.87,78,0.27
Global Comet Stacking Arm Chair,6084.144,79,0.26
Global Ergonomic Managers Chair,6008.536,80,0.26
Canon PC1080F Personal Copier,5999.9,81,0.26
"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",5989.204,82,0.26
Hon 5100 Series Wood Tables,5965.09,83,0.26
"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",5906.52,84,0.26
Hon 4070 Series Pagoda Round Back Stacking Chairs,5906.032,85,0.26
Global Leather Executive Chair,5861.532999999999,86,0.26
"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",5801.816,87,0.25
Zebra GX420t Direct Thermal/Thermal Transfer Printer,5787.355,88,0.25
Iceberg Mobile Mega Data/Printer Cart,5751.774,89,0.25
Safco Contoured Stacking Chairs,5697.76,90,0.25
Canon PC940 Copier,5669.874,91,0.25
Bretford Just In Time Height-Adjustable Multi-Task Work Tables,5634.9,92,0.25
Logitech Z-906 Speaker sys - home theater - 5.1-CH,5609.83,93,0.24
Deluxe Rollaway Locking File with Drawer,5572.792,94,0.24
"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",5492.885,95,0.24
"Global High-Back Leather Tilter, Burgundy",5436.158,96,0.24
Hon Olson Stacker Chairs,5427.99,97,0.24
Ibico Hi-Tech Manual Binding System,5398.323,98,0.23
Wilson SignalBoost 841262 DB PRO Amplifier Kit,5327.26,99,0.23
Hon Olson Stacker Stools,5294.456,100,0.23
GE 30524EE4,5291.7300000000005,101,0.23
Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,5282.424,102,0.23
"Lifetime Advantage Folding Chairs, 4/Carton",5212.112,103,0.23
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5184.081,104,0.23
Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,5119.744000000001,105,0.22
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",5098.176,106,0.22
Hoover Shoulder Vac Commercial Portable Vacuum,5009.48,107,0.22
Panasonic KX-TG9471B,4978.146000000001,108,0.22
Chromcraft Rectangular Conference Tables,4952.673,109,0.22
Apple iPhone 5S,4901.914000000001,110,0.21
O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,4886.46,111,0.21
Brother DCP1000 Digital 3 in 1 Multifunction Machine,4859.838,112,0.21
Fellowes Staxonsteel Drawer Files,4829.25,113,0.21
Smead Adjustable Mobile File Trolley with Lockable Top,4778.766,114,0.21
High-Back Leather Manager's Chair,4770.633,115,0.21
SAFCO Boltless Steel Shelving,4704.696,116,0.2
Global Executive Mid-Back Manager's Chair,4626.582,117,0.2
DMI Arturo Collection Mission-style Design Wood Chair,4619.987999999999,118,0.2
Polycom CX600 IP Phone VoIP phone,4619.2300000000005,119,0.2
Letter Size Cart,4600.092,120,0.2
KI Adjustable-Height Table,4552.641,121,0.2
"Bevis Round Bullnose 29"" High Table Top",4544.925,122,0.2
Fellowes Officeware Wire Shelving,4509.466,123,0.2
Samsung Galaxy Note 2,4507.902,124,0.2
"Fellowes Strictly Business Drawer File, Letter/Legal Size",4479.03,125,0.19
Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,4476.96,126,0.19
"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",4446.175,127,0.19
Nortel Meridian M3904 Professional Digital phone,4434.912,128,0.19
Global Commerce Series Low-Back Swivel/Tilt Chairs,4420.056,129,0.19
Sharp 1540cs Digital Laser Copier,4399.92,130,0.19
Logitech G19 Programmable Gaming Keyboard,4389.246,131,0.19
"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",4384.044,132,0.19
"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",4334.8275,133,0.19
Bevis 36 x 72 Conference Tables,4332.252,134,0.19
GBC DocuBind TL200 Manual Binding Machine,4322.814,135,0.19
"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",4297.644,136,0.19
Cisco 9971 IP Video Phone Charcoal,4268.0,137,0.19
Motorola L703CM,4211.73,138,0.18
GBC DocuBind 200 Manual Binding Machine,4209.799999999999,139,0.18
Hewlett Packard 310 Color Digital Copier,4199.86,140,0.18
"SAFCO Commercial Wire Shelving, Black",4199.456,141,0.18
Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,4185.48,142,0.18
Fellowes PB200 Plastic Comb Binding Machine,4181.754,143,0.18
Cisco SPA301,4180.532,144,0.18
"Global Wood Trimmed Manager's Task Chair, Khaki",4166.884,145,0.18
Canon PC-428 Personal Copier,4119.794,146,0.18
Wireless Extenders zBoost YX545 SOHO Signal Booster,4044.3860000000004,147,0.18
Fellowes Super Stor/Drawer Files,4006.44,148,0.17
Samsung Galaxy S4 Active,3999.92,149,0.17
WD My Passport Ultra 2TB Portable External Hard Drive,3998.4,150,0.17
Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98,151,0.17
Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,3989.734,152,0.17
Polycom SoundStation2 EX Conference phone,3968.5099999999998,153,0.17
Hon Racetrack Conference Tables,3963.901,154,0.17
Canon Image Class D660 Copier,3959.9339999999997,155,0.17
"Global Airflow Leather Mesh Back Chair, Black",3955.676,156,0.17
Fellowes High-Stak Drawer Files,3946.656,157,0.17
Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,3861.056,158,0.17
Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,3855.1800000000003,159,0.17
Polycom SoundPoint IP 450 VoIP phone,3839.62,160,0.17
Google Nexus 5,3815.788,161,0.17
Hon Non-Folding Utility Tables,3775.647,162,0.16
Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),3743.7920000000004,163,0.16
"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",3739.115,164,0.16
Aastra 57i VoIP phone,3684.708,165,0.16
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",3680.538,166,0.16
Polycom VoiceStation 500 Conference phone,3657.38,167,0.16
"Situations Contoured Folding Chairs, 4/Set",3641.274,168,0.16
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",3626.0056,169,0.16
Toshiba IPT2010-SD IP Telephone,3613.74,170,0.16
"Bush Cubix Conference Tables, Fully Assembled",3603.288,171,0.16
Pyle PMP37LED,3590.026,172,0.16
Global Adaptabilities Conference Tables,3540.348,173,0.15
"24 Capacity Maxi Data Binder Racks, Pearl",3537.24,174,0.15
Global Comet Stacking Armless Chair,3528.79,175,0.15
Avanti 4.4 Cu. Ft. Refrigerator,3511.012,176,0.15
Hon Rectangular Conference Tables,3481.515,177,0.15
"Iceberg OfficeWorks 42"" Round Tables",3457.442,178,0.15
"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",3447.84,179,0.15
O'Sullivan Living Dimensions 5-Shelf Bookcases,3420.7704,180,0.15
Geemarc AmpliPOWER60,3415.04,181,0.15
Hewlett-Packard Desktjet 6988DT Refurbished Printer,3404.5,182,0.15
Bush Advantage Collection Round Conference Table,3401.6000000000004,183,0.15
Fellowes Stor/Drawer Steel Plus Storage Drawers,3397.308,184,0.15
"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",3354.89,185,0.15
"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",3322.878,186,0.14
"Bush Andora Bookcase, Maple/Graphite Gray Finish",3317.7235,187,0.14
Tenex Antistatic Computer Chair Mats,3317.0119999999997,188,0.14
Bevis 44 x 96 Conference Tables,3253.2200000000003,189,0.14
Ibico EB-19 Dual Function Manual Binding System,3234.913,190,0.14
GBC ProClick 150 Presentation Binding System,3222.996,191,0.14
Okidata C331dn Printer,3210.8,192,0.14
Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,3178.13,193,0.14
Jabra SPEAK 410,3158.064,194,0.14
"Global Fabric Manager's Chair, Dark Gray",3150.576,195,0.14
Hon 2111 Invitation Series Corner Table,3140.55,196,0.14
Economy Rollaway Files,3138.8,197,0.14
BlackBerry Q10,3099.354,198,0.13
Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,3059.7960000000003,199,0.13
Hoover WindTunnel Plus Canister Vacuum,3051.3,200,0.13
Digium D40 VoIP phone,3044.164,201,0.13
Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,3040.0,202,0.13
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",3039.5,203,0.13
Space Solutions HD Industrial Steel Shelving.,3035.208,204,0.13
Carina Double Wide Media Storage Towers in Natural & Black,3028.652,205,0.13
Compact Automatic Electric Letter Opener,2982.75,206,0.13
"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",2979.004,207,0.13
O'Sullivan Living Dimensions 2-Shelf Bookcases,2970.059,208,0.13
"Global Manager's Adjustable Task Chair, Storm",2959.208,209,0.13
GBC DocuBind P100 Manual Binding Machine,2954.444,210,0.13
O'Sullivan Plantations 2-Door Library in Landvery Oak,2946.3668,211,0.13
3.6 Cubic Foot Counter Height Office Refrigerator,2946.2,212,0.13
Aastra 6757i CT Wireless VoIP phone,2929.984,213,0.13
Novimex Swivel Fabric Task Chair,2913.9139999999998,214,0.13
ShoreTel ShorePhone IP 230 VoIP phone,2906.628,215,0.13
O'Sullivan Living Dimensions 3-Shelf Bookcases,2904.161,216,0.13
Kensington 7 Outlet MasterPiece Power Center,2883.276,217,0.13
Logitech Wireless Gaming Headset G930,2879.82,218,0.13
Bose SoundLink Bluetooth Speaker,2865.6,219,0.12
"Electrix Architect's Clamp-On Swing Arm Lamp, Black",2863.8,220,0.12
"Lesro Round Back Collection Coffee Table, End Table",2847.7799999999997,221,0.12
Okidata MB491 Multifunction Printer,2844.2999999999997,222,0.12
Premier Automatic Letter Opener,2836.366,223,0.12
Logitech Wireless Headset h800,2799.72,224,0.12
Xerox 1915,2789.0099999999998,225,0.12
Electrix Halogen Magnifier Lamp,2759.06,226,0.12
Maxell iVDR EX 500GB Cartridge,2755.4,227,0.12
VTech DS6151,2746.582,228,0.12
Nortel Meridian M5316 Digital phone,2744.87,229,0.12
O'Sullivan 4-Shelf Bookcase in Odessa Pine,2740.197,230,0.12
"Carina Mini System Audio Rack, Model AR050B",2730.108,231,0.12
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",2706.08,232,0.12
Hon Mobius Operator's Chair,2705.7799999999997,233,0.12
"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",2699.056,234,0.12
"Bevis Round Conference Table Top, X-Base",2671.421,235,0.12
Imation Bio 8GB USB Flash Drive Imation Corp,2659.84,236,0.12
Global Highback Leather Tilter in Burgundy,2647.809,237,0.12
Cisco 8x8 Inc. 6753i IP Business Phone System,2645.804,238,0.12
Premier Electric Letter Opener,2641.6079999999997,239,0.11
Vtech CS6719,2630.126,240,0.11
NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,2623.8360000000002,241,0.11
Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,2619.738,242,0.11
Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,2612.196,243,0.11
Motorola Droid Maxx,2609.826,244,0.11
Hon Deluxe Fabric Upholstered Stacking Chairs,2586.1879999999996,245,0.11
"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",2552.54,246,0.11
Bevis Boat-Shaped Conference Table,2542.467,247,0.11
Fellowes Powershred HS-440 4-Sheet High Security Shredder,2541.8360000000002,248,0.11
Xerox WorkCentre 6505DN Laser Multifunction Printer,2519.958,249,0.11
Safco Industrial Wire Shelving System,2511.0480000000002,250,0.11
Plantronics Calisto P620-M USB Wireless Speakerphone System,2508.672,251,0.11
Easy-staple paper,2504.192,252,0.11
Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,2491.28,253,0.11
Kensington 4 Outlet MasterPiece Compact Power Control Center,2488.392,254,0.11
"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",2487.759,255,0.11
Sensible Storage WireTech Storage Systems,2484.2999999999997,256,0.11
Wi-Ex zBoost YX540 Cellular Phone Signal Booster,2481.15,257,0.11
Enermax Acrylux Wireless Keyboard,2450.16,258,0.11
Panasonic KX MB2061 Multifunction Printer,2396.4,259,0.1
Global Super Steno Chair,2389.902,260,0.1
Harbour Creations Steel Folding Chair,2389.125,261,0.1
Logitech Gaming G510s - Keyboard,2362.7219999999998,262,0.1
Swingline SM12-08 MicroCut Jam Free Shredder,2359.9410000000003,263,0.1
"3D Systems Cube Printer, 2nd Generation, White",2339.982,264,0.1
Logitech G700s Rechargeable Gaming Mouse,2339.766,265,0.1
StarTech.com 10/100 VDSL2 Ethernet Extender Kit,2330.65,266,0.1
"Fellowes Mobile File Cart, Black",2300.66,267,0.1
"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",2299.75,268,0.1
"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",2298.114,269,0.1
Bevis Round Conference Table Top & Single Column Base,2297.538,270,0.1
Xiaomi Mi3,2279.96,271,0.1
"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",2267.972,272,0.1
GBC DocuBind P50 Personal Binding Machine,2264.892,273,0.1
Cisco IP Phone 7961G-GE VoIP phone,2252.4320000000002,274,0.1
Plantronics S12 Corded Telephone Headset System,2242.032,275,0.1
BPI Conference Tables,2241.8675,276,0.1
Plantronics HL10 Handset Lifter,2227.008,277,0.1
Konftel 250 Conference phone - Charcoal black,2221.596,278,0.1
Avanti 1.7 Cu. Ft. Refrigerator,2221.56,279,0.1
Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,2207.956,280,0.1
"Global Value Steno Chair, Gray",2204.862,281,0.1
Office Star - Mesh Screen back chair with Vinyl seat,2200.464,282,0.1
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",2191.68,283,0.1
"Global Push Button Manager's Chair, Indigo",2185.951,284,0.1
Jabra Supreme Plus Driver Edition Headset,2159.82,285,0.09
Razer Kraken PRO Over Ear PC and Music Headset,2159.73,286,0.09
Logitech G35 7.1-Channel Surround Sound Headset,2157.8340000000003,287,0.09
Samsung Galaxy Note 3,2155.902,288,0.09
Sauder Inglewood Library Bookcases,2154.348,289,0.09
KI Conference Tables,2140.878,290,0.09
Mitel 5320 IP Phone VoIP phone,2116.688,291,0.09
Imation Bio 2GB USB Flash Drive Imation Corp,2098.88,292,0.09
Laminate Occasional Tables,2096.168,293,0.09
"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",2064.228,294,0.09
Cisco SPA 502G IP Phone,2063.14,295,0.09
"Tenex Chairmat w/ Average Lip, 45"" x 53""",2058.496,296,0.09
HTC One Mini,2041.038,297,0.09
Hon 2111 Invitation Series Straight Table,2040.054,298,0.09
"Bevis Traditional Conference Table Top, Plinth Base",2033.496,299,0.09
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,2032.35,300,0.09
Jawbone MINI JAMBOX Wireless Bluetooth Speaker,2027.304,301,0.09
Jawbone JAMBOX Wireless Bluetooth Speaker,2022.272,302,0.09
Jabra SPEAK 410 Multidevice Speakerphone,2018.702,303,0.09
Ooma Telo VoIP Home Phone System,2015.8400000000001,304,0.09
Okidata C610n Printer,2011.9,305,0.09
Logitech G602 Wireless Gaming Mouse,1999.75,306,0.09
Adtran 1202752G1,1990.6419999999998,307,0.09
"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",1979.88,308,0.09
"Global Value Mid-Back Manager's Chair, Gray",1978.925,309,0.09
Space Solutions Commercial Steel Shelving,1952.43,310,0.08
Office Star Flex Back Scooter Chair with Aluminum Finish Frame,1947.1770000000001,311,0.08
Harmony Air Purifier,1946.7,312,0.08
AT&T 1080 Corded phone,1945.258,313,0.08
AT&T CL83451 4-Handset Telephone,1936.306,314,0.08
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,1926.9360000000001,315,0.08
Logitech Mobile Speakerphone P710e - speaker phone,1916.716,316,0.08
Plantronics Audio 995 Wireless Stereo Headset,1913.13,317,0.08
"O'Sullivan Elevations Bookcase, Cherry Finish",1912.308,318,0.08
"Sauder Camden County Collection Libraries, Planked Cherry Finish",1909.8178,319,0.08
Polycom SoundPoint Pro SE-225 Corded phone,1903.8400000000001,320,0.08
Bestar Classic Bookcase,1897.8102,321,0.08
Novimex Fabric Task Chair,1890.3799999999999,322,0.08
NETGEAR N750 Dual Band Wi-Fi Gigabit Router,1890.0,323,0.08
Multicolor Computer Printout Paper,1887.3,324,0.08
Nortel Networks T7316 E Nt8 B27,1876.524,325,0.08
"Sauder Forest Hills Library, Woodland Oak Finish",1875.034,326,0.08
"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",1857.252,327,0.08
Office Star - Contemporary Task Swivel Chair,1842.268,328,0.08
"Padded Folding Chairs, Black, 4/Carton",1830.148,329,0.08
LG G3,1803.108,330,0.08
Logitech Wireless Performance Mouse MX for PC and Mac,1799.82,331,0.08
Xerox 189,1782.4499999999998,332,0.08
Belkin 5 Outlet SurgeMaster Power Centers,1776.048,333,0.08
Office Star Flex Back Scooter Chair with White Frame,1775.68,334,0.08
Bevis Steel Folding Chairs,1775.075,335,0.08
GE 2-Jack Phone Line Splitter,1771.5140000000001,336,0.08
Global Deluxe Steno Chair,1770.54,337,0.08
Tennsco Regal Shelving Units,1764.534,338,0.08
Honeywell Quietcare HEPA Air Cleaner,1761.76,339,0.08
"Global Geo Office Task Chair, Gray",1757.266,340,0.08
Global Low Back Tilter Chair,1746.9540000000002,341,0.08
Xerox 1941,1740.51,342,0.08
AT&T TR1909W,1738.662,343,0.08
Jabra BIZ 2300 Duo QD Duo Corded Headset,1727.0639999999999,344,0.08
First Data FD10 PIN Pad,1722.2,345,0.07
Xerox 1908,1712.988,346,0.07
"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",1706.508,347,0.07
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,1706.25,348,0.07
Kensington Orbit Wireless Mobile Trackball for PC and Mac,1703.7160000000001,349,0.07
Xerox 1945,1696.986,350,0.07
Kensington Expert Mouse Optical USB Trackball for PC or Mac,1690.8220000000001,351,0.07
"Global Leather & Oak Executive Chair, Burgundy",1689.968,352,0.07
Hon Comfortask Task/Swivel Chairs,1686.904,353,0.07
Staple envelope,1686.8120000000001,354,0.07
Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,1685.44,355,0.07
ClearOne Communications CHAT 70 OC Speaker Phone,1685.294,356,0.07
Polycom CX300 Desktop Phone USB VoIP phone,1679.8880000000001,357,0.07
"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",1674.4,358,0.07
Panasonic KX TS3282W Corded phone,1665.804,359,0.07
O'Sullivan Manor Hill 2-Door Library in Brianna Oak,1646.9180000000001,360,0.07
Enermax Aurora Lite Keyboard,1641.1499999999999,361,0.07
"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",1636.864,362,0.07
"Carina 42""Hx23 3/4""W Media Storage Unit",1635.796,363,0.07
Motorola Moto X,1631.952,364,0.07
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",1623.248,365,0.07
Panasonic KX MC6040 Color Laser Multifunction Printer,1619.82,366,0.07
Plantronics Audio 478 Stereo USB Headset,1619.676,367,0.07
"Hunt PowerHouse Electric Pencil Sharpener, Blue",1617.9479999999999,368,0.07
Logitech G600 MMO Gaming Mouse,1615.798,369,0.07
AT&T 841000 Phone,1614.6,370,0.07
"Iceberg Nesting Folding Chair, 19w x 6d x 43h",1589.406,371,0.07
AT&T 1080 Phone,1589.084,372,0.07
Mophie Juice Pack Helium for iPhone,1583.8020000000001,373,0.07
Deflect-o Glass Clear Studded Chair Mats,1579.3719999999998,374,0.07
Microsoft Sculpt Comfort Mouse,1574.03,375,0.07
GBC ProClick Punch Binding System,1573.908,376,0.07
"Hon Metal Bookcases, Black",1570.0775999999998,377,0.07
Xerox 1919,1565.818,378,0.07
Cameo Buff Policy Envelopes,1555.75,379,0.07
Luxo Adjustable Task Clamp Lamp,1545.816,380,0.07
Avaya 5420 Digital phone,1538.886,381,0.07
Eureka Sanitaire  Commercial Upright,1524.5320000000002,382,0.07
Harbour Creations 67200 Series Stacking Chairs,1501.8980000000001,383,0.07
LG G2,1499.97,384,0.07
Microsoft Natural Keyboard Elite,1497.0,385,0.07
Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,1489.334,386,0.06
Hon 4-Shelf Metal Bookcases,1474.308,387,0.06
"Bush Westfield Collection Bookcases, Fully Assembled",1473.2982000000002,388,0.06
Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,1473.108,389,0.06
"Tenex ""The Solids"" Textured Chair Mats",1469.1599999999999,390,0.06
"Plantronics CS 50-USB - headset - Convertible, Monaural",1468.692,391,0.06
"Mini 13-1/2 Capacity Data Binder Rack, Pearl",1465.7440000000001,392,0.06
"Global Leather Task Chair, Black",1448.839,393,0.06
"SAFCO Commercial Wire Shelving, 72h",1445.2640000000001,394,0.06
Nokia Lumia 1020,1439.968,395,0.06
"Leather Task Chair, Black",1437.484,396,0.06
"Bush Andora Conference Table, Maple/Graphite Gray Finish",1436.232,397,0.06
Xerox 1893,1434.65,398,0.06
Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,1431.944,399,0.06
"Sauder Facets Collection Library, Sky Alder Finish",1427.683,400,0.06
"Bush Westfield Collection Bookcases, Medium Cherry Finish",1426.8878,401,0.06
Fellowes Bankers Box Stor/Drawer Steel Plus,1426.308,402,0.06
Global Deluxe Office Fabric Chairs,1420.504,403,0.06
Logitech Wireless Marathon Mouse M705,1409.718,404,0.06
Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,1409.53,405,0.06
"Belkin 19"" Vented Equipment Shelf, Black",1400.256,406,0.06
Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,1399.8,407,0.06
"Global Armless Task Chair, Royal Blue",1396.442,408,0.06
Hewlett-Packard Deskjet 6540 Color Inkjet Printer,1396.21,409,0.06
Avaya IP Phone 1140E VoIP phone,1394.95,410,0.06
Cisco CP-7937G Unified IP Conference Station Phone,1391.4,411,0.06
